Timestamp, Sequence Number, SubPoint Number, Vertix Number, Comment, X, Y, Intended X, Intended Y, Scan Velocity, Laser State, Laser Rep. Rate, Spot Type, Spot Size, Spot Angle, MFC1, MFC2, Cell Pressure, Fluence At Sample
2019-04-15 10:36:53.774,,,,,15829,61479,15829,61479,,Off,0,Manual: G,50,0,0,0,0,
2019-04-15 10:36:53.774,,,,,15829,61479,,,,On,10,Manual: G,50,0,0,0,0,
2019-04-15 10:36:53.774,,,2,,15829,61479,,,33,On,10,Manual: G,50,0,0,0,0,
2019-04-15 10:37:26.296,,,,,16898,61479,16898,61479,,On,10,Manual: G,50,0,0,0,0,
2019-04-15 10:37:26.296,,,,,16898,61479,,,,Off,0,Manual: G,50,0,0,0,0,
2019-04-15 10:37:39.560,25,1,,Line 3 (Copy 15) (Copy 6),15829,61530,,,,Off,0,Manual: G,50,0,0,0,0,
2019-04-15 10:37:39.560,,,1,,15829,61530,,,33,Off,0,Manual: G,50,0,0,0,0,
2019-04-15 10:37:39.560,,,,,15829,61530,15829,61530,,Off,0,Manual: G,50,0,0,0,0,
2019-04-15 10:37:39.560,,,,,15829,61530,,,,On,10,Manual: G,50,0,0,0,0,
2019-04-15 10:37:39.560,,,2,,15829,61530,,,33,On,10,Manual: G,50,0,0,0,0,
2019-04-15 10:38:12.323,,,,,16901,61530,16901,61530,,On,10,Manual: G,50,0,0,0,0,
2019-04-15 10:38:12.323,,,,,16901,61530,,,,Off,0,Manual: G,50,0,0,0,0,
2019-04-15 10:38:23.907,26,1,,Line 3 (Copy 15) (Copy 7),15829,61579,,,,Off,0,Manual: G,50,0,0,0,0,
2019-04-15 10:38:23.907,,,1,,15829,61579,,,33,Off,0,Manual: G,50,0,0,0,0,
2019-04-15 10:38:23.907,,,,,15829,61579,15829,61579,,Off,0,Manual: G,50,0,0,0,0,
2019-04-15 10:38:23.907,,,,,15829,61579,,,,On,10,Manual: G,50,0,0,0,0,
2019-04-15 10:38:23.907,,,2,,15829,61579,,,33,On,10,Manual: G,50,0,0,0,0,
2019-04-15 10:38:56.408,,,,,16897,61579,16897,61579,,On,10,Manual: G,50,0,0,0,0,
2019-04-15 10:38:56.408,,,,,16897,61579,,,,Off,0,Manual: G,50,0,0,0,0,
2019-04-15 10:39:09.725,27,1,,Line 3 (Copy 15) (Copy 8),15829,61630,,,,Off,0,Manual: G,50,0,0,0,0,
2019-04-15 10:39:09.725,,,1,,15829,61630,,,33,Off,0,Manual: G,50,0,0,0,0,
2019-04-15 10:39:09.725,,,,,15829,61630,15829,61630,,Off,0,Manual: G,50,0,0,0,0,
2019-04-15 10:39:09.725,,,,,15829,61630,,,,On,10,Manual: G,50,0,0,0,0,
2019-04-15 10:39:09.725,,,2,,15829,61630,,,33,On,10,Manual: G,50,0,0,0,0,
2019-04-15 10:39:42.455,,,,,16901,61630,16901,61630,,On,10,Manual: G,50,0,0,0,0,
2019-04-15 10:39:42.455,,,,,16901,61630,,,,Off,0,Manual: G,50,0,0,0,0,
2019-04-15 10:39:54.249,28,1,,Line 3 (Copy 15) (Copy 9),15829,61679,,,,Off,0,Manual: G,50,0,0,0,0,
2019-04-15 10:39:54.249,,,1,,15829,61679,,,33,Off,0,Manual: G,50,0,0,0,0,
2019-04-15 10:39:54.249,,,,,15829,61679,15829,61679,,Off,0,Manual: G,50,0,0,0,0,
2019-04-15 10:39:54.249,,,,,15829,61679,,,,On,10,Manual: G,50,0,0,0,0,
2019-04-15 10:39:54.249,,,2,,15829,61679,,,33,On,10,Manual: G,50,0,0,0,0,
2019-04-15 10:40:26.902,,,,,16901,61679,16901,61679,,On,10,Manual: G,50,0,0,0,0,
2019-04-15 10:40:26.902,,,,,16901,61679,,,,Off,0,Manual: G,50,0,0,0,0,
2019-04-15 10:40:38.757,29,1,,Line 3 (Copy 15) (Copy 10),15829,61730,,,,Off,0,Manual: G,50,0,0,0,0,
2019-04-15 10:40:38.757,,,1,,15829,61730,,,33,Off,0,Manual: G,50,0,0,0,0,
2019-04-15 10:40:38.757,,,,,15829,61730,15829,61730,,Off,0,Manual: G,50,0,0,0,0,
